iter	Passed	Remaining
0	27	4907
1	53	4749
2	80	4737
3	106	4695
4	132	4628
5	157	4565
6	182	4510
7	207	4460
8	234	4446
9	259	4406
10	284	4367
11	311	4355
12	336	4324
13	361	4285
14	387	4265
15	413	4243
16	438	4208
17	465	4189
18	491	4168
19	517	4136
20	543	4115
21	569	4090
22	594	4061
23	621	4039
24	646	4010
25	672	3982
26	697	3954
27	724	3934
28	751	3910
29	776	3882
30	802	3857
31	828	3833
32	858	3825
33	888	3817
34	917	3799
35	945	3782
36	973	3762
37	1003	3749
38	1031	3730
39	1059	3706
40	1088	3689
41	1121	3683
42	1148	3660
43	1176	3637
44	1204	3614
45	1232	3590
46	1261	3568
47	1289	3547
48	1317	3523
49	1347	3502
50	1376	3481
51	1404	3457
52	1432	3433
53	1460	3408
54	1488	3383
55	1516	3357
56	1542	3329
57	1570	3302
58	1598	3278
59	1627	3254
60	1655	3228
61	1683	3204
62	1712	3180
63	1740	3154
64	1767	3127
65	1794	3100
66	1822	3074
67	1851	3048
68	1879	3024
69	1906	2996
70	1934	2970
71	1961	2942
72	1989	2915
73	2018	2892
74	2046	2865
75	2074	2838
76	2102	2813
77	2131	2786
78	2159	2760
79	2188	2735
80	2218	2710
81	2247	2685
82	2276	2660
83	2304	2633
84	2333	2607
85	2362	2581
86	2390	2555
87	2420	2530
88	2449	2504
89	2478	2478
90	2506	2451
91	2535	2424
92	2564	2398
93	2592	2371
94	2620	2345
95	2648	2317
96	2677	2290
97	2706	2264
98	2734	2237
99	2762	2210
100	2792	2184
101	2820	2157
102	2849	2130
103	2879	2104
104	2907	2077
105	2935	2049
106	2963	2021
107	2991	1994
108	3018	1966
109	3047	1939
110	3075	1911
111	3102	1883
112	3129	1855
113	3156	1827
114	3185	1800
115	3213	1773
116	3242	1745
117	3269	1717
118	3296	1689
119	3324	1662
120	3352	1634
121	3381	1607
122	3409	1579
123	3437	1552
124	3465	1524
125	3494	1497
126	3524	1470
127	3553	1443
128	3581	1415
129	3609	1388
130	3637	1360
131	3665	1332
132	3693	1305
133	3722	1277
134	3750	1250
135	3778	1222
136	3806	1194
137	3834	1166
138	3862	1139
139	3890	1111
140	3916	1083
141	3944	1055
142	3972	1027
143	4000	1000
144	4027	972
145	4055	944
146	4083	916
147	4112	889
148	4139	861
149	4167	833
150	4196	805
151	4225	778
152	4253	750
153	4281	722
154	4308	694
155	4337	667
156	4366	639
157	4395	612
158	4425	584
159	4454	556
160	4483	529
161	4511	501
162	4541	473
163	4571	445
164	4600	418
165	4629	390
166	4658	362
167	4687	334
168	4716	306
169	4745	279
170	4774	251
171	4803	223
172	4831	195
173	4859	167
174	4888	139
175	4915	111
176	4940	83
177	4966	55
178	4990	27
179	5016	0
